,user_id,text
0,-1001871224871,"И ТАК БУДЕТ С КАЖДЫМ 
жду вас в нашей кофейне 🤗"
1,-1001871224871,"по правилам нам надо извиниться и переделать
но мне насрать иди пей свой вонючий горький кофе"
2,-1001871224871,"я уже настолько привыкла к этому, что запоминаю ВСЕ что говорит гость без чеков 

так что иди поплачь в подушку"
3,-1001871224871,"я в шоке типа
вы думаете я дура?
если ты проговорил это В УМЕ
не мои проблемы"
4,-1001871224871,"- а кофе без сахара чтоли?
- вы не просили сахар
- я просил
- если бы попросили, сахар бы был там)
- НЕТ Я ПРОСИЛ"
5,-1001871224871,"день только начался, а я уже посралась с гостем (страшным пузатым армянином)"
6,-1001871224871,"люди которые берут в эту жарищу горячий кофе, вы нормальные?

люди которые берут карамельный айс латте на кокосовом, к вам вопросов нет."
7,-1001871224871,меня начало тошнить от молока на второй день работы в кофейне и я с тех пор ни разу не брала кофе на обычном молоке… а у нас оно НА МИНУТОЧКУ низколактозное
8,-1001871224871,"вы знали что у ≈70% людей неперонисмость лактозы?

то есть люди которые берут айс латте на кокосовом не заслужили все эти насмешки… 🥺"
9,-1001871224871,😭
10,-1001871224871,"посмотрела теперь страшно 

https://youtu.be/u64urd_0Jj0?si=5T-NrsdCv-SYlkDI"
11,-1001871224871,лето
12,-1001871224871,
13,-1001871224871,"заказала еды 
она едет час
я уже наелась хлебцами и ниче не хочу"
14,-1001871224871,"маша решила выйти из тт поэтому 
вот"
15,-1001871224871,щас всех красивых женщин соберем такими темпами…
16,-1001871224871,еще одна тетя пришла
17,-1001871224871,что у вас тут случилось
18,-1001871224871,вы че все на ибрагима накинулись
19,-1001871224871,че с ибрагимом
20,-1001871224871,"ЛАДНО ЩАС БЕЗ ШУТОК
мне уже 4 подписчицы написали в лс чтоб я удалила ибрагима 

пожалуйста делай выводы что такое общение нравится далеко не всем девушкам"
21,-1001871224871,эйджизма не потерплю
22,-1001871224871,даже соня пришла
23,-1001871224871,"Я РЕВУ С КОММЕНТОВ
все женщины канала против ибрагима"
24,-1001871224871,зумеры не понимают сочных двадцатилетних теток
25,-1001871224871,
26,-1001871224871,тетки это про нас
27,-1001871224871,НЕТ ЭТО АДЕКВАТНО?
28,-1001871224871,бля тетки вы че ебу дали столько писать
29,-1001871224871,ты тварь засунь эти черепушки себе в жопу
30,-1001871224871,где-то плачет одна нина
31,-1001871224871,😃
32,-1001871224871,где все эти позитивные посты ..
33,-1001871224871,вот зачем стелла анализировала мой тгк…
34,-1001871224871,стелла
35,-1001871224871,стелла сделала код моего тг канала…
36,-1001871224871,"мы делаем матешу
у нас ничего не получается"
37,-1001871224871,"мило 

в пикеты про то как собаки людей сгрызают будут?"
38,-1001871224871,
39,-1001871224871,
40,-1001871224871,"- блин ты такая айтишница… я бы влюбилась
- еще одно слово и ты сама будешь это писать."
41,-1001871224871,
42,-1001871224871,
43,-1001871224871,в самокате закончился мой любимый булгур и пришлось заказать рис… не советую 🤮
44,-1001871224871,ну чтож
45,-1001871224871,"она как тряпичная кукла
посмотрите как она ходит я плачу"
46,-1001871224871,"марина мне присылает все новые аутфиты стеши 

но с этого я так хихикнула что решила поделиться"
47,-1001871224871,
48,-1001871224871,светлана будет моей
49,-1001871224871,"ай вон ит 
ай гад ит"
50,-1001871224871,
51,-1001871224871,да.
52,-1001871224871,"моя одногруппница идентифицирует себя как нейросеть, поэтому не пришла на экзамен"
53,-1001871224871,
54,-1001871224871,🙏
55,-1001871224871,
56,-1001871224871,
57,-1001871224871,"посты полины: 🌸❤️🥰
мои: 🔪💀🪦"
58,-1001871224871,
59,-1001871224871,
60,-1001871224871,
61,-1001871224871,до лета осталось 2 дня 2 часа 15 минут 🌟
62,-1001871224871,
63,-1001871224871,
64,-1001871224871,
65,-1001871224871,
66,-1001871224871,"5 минут назад обсуждали с полиной как круто вести здоровый образ жизни 

щас молча идем в мак."
67,-1001871224871,как-то
68,-1001871224871,мы подружились со всеми девочками чико рико
69,-1001871224871,теперь точно последний.
70,-1001871224871,ну
71,-1001871224871,
72,-1001871224871,"я ужасная подруга 
соня прости 
🦎"
73,-1001871224871,"когда-нибудь я оденусь так
что ибрагим НЕ напишет «колхоз»"
74,-1001871224871,у меня депрессия из-за ибрагима
75,-1001871224871,"никто не будет смотреть твои репортажи , если они будут как у всех"
76,-1001871224871,что-то я вообще очень волосатая у меня комплексы 😢
77,-1001871224871,"брить руки?
да/нет"
78,-1001871224871,так лучше
79,-1001871224871,"НИКТО не заметил пятно
вы хотите чтоб я опозорилась в унике?"
80,-1001871224871,скоро будет чистка и на канале останется ТОЛЬКО фидан
81,-1001871224871,"прям очень плохо?
да/нет"
82,-1001871224871,я подрезала штаны теперь они похожи на говно че делать
83,-1001871224871,
84,-1001871224871,нина такая типа:
85,-1001871224871,"в серфе очень вкусный айс латте 
ну на кокосовом точно"
86,-1001871224871,"ходят слухи что если не купить айс латте во время прогулки
умрет путин 
но мы не сдержались"
87,-1001871224871,какая-то женщина в метро дала мне по жопе 😍
88,-1001871224871,
89,-1001871224871,английский минус
90,-1001871224871,не очень удачный конец  учебного года получился
91,-1001871224871,ТВАРИ НЕ ДАЛИ СПИСАТЬ ПО НУЛЯМ
92,-1001871224871,блин опаздываю(
